codigo;familia;nombre;unidad;costo_unitario 
C60-034;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;0
C60-001;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;0
C60-112;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;0
C60-002;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;0
C60-003;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;0
C60-004;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;0
C60-006;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;0
C60-008;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;0
C60-010;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;0
C60-012;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;0
C60-014;TUBERIAS;"CODO 60° ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;0
C90-120;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 1/2"" (ASTM A-53)";UND;0
C90-034;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;0
C90-001;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;0
C90-112;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;0
C90-002;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;0
C90-003;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;0
C90-004;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;0
C90-006;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;0
C90-008;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;0
C90-010;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;0
C90-012;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 12"" (ASTM A-53)";UND;0
C90-014;TUBERIAS;"CODO 90° ACERO AL CARBONO, PARA SOLDAR. Ø 14"" (ASTM A-53)";UND;0
TEE-120;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 1/2"" (ASTM A-53)";UND;0
TEE-034;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 3/4"" (ASTM A-53)";UND;0
TEE-001;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 1"" (ASTM A-53)";UND;0
TEE-112;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 1 1/2"" (ASTM A-53)";UND;0
TEE-002;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 2"" (ASTM A-53)";UND;0
TEE-212;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 2 1/2"" (ASTM A-53)";UND;0
TEE-003;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 3"" (ASTM A-53)";UND;0
TEE-004;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 4"" (ASTM A-53)";UND;0
TEE-006;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 6"" (ASTM A-53)";UND;0
TEE-008;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 8"" (ASTM A-53)";UND;0
TEE-010;TUBERIAS;"TEE ACERO AL CARBONO, PARA SOLDAR. Ø 10"" (ASTM A-53)";UND;0
