codigo;familia;nombre;unidad;costo_unitario 
TOR34X412;TORNILLERIA;"TORNILLO HEXAGONAL 3/4"" x 4 1/2""";UND;0
TOR34X434;TORNILLERIA;"TORNILLO HEXAGONAL 3/4"" x 4 3/4""";UND;0
ESP12X312;TORNILLERIA;"ESPARRAGO A193 B7 Ø 1/2"" x 3 1/2""";UND;0
ESP58X400;TORNILLERIA;"ESPARRAGO A193 B7 Ø 5/8"" x 4""";UND;0
ESP58X512;TORNILLERIA;"ESPARRAGO A193 B7 Ø 5/8"" x 5 1/2""";UND;0
ESP34X412;TORNILLERIA;"ESPARRAGO A193 B7 Ø 3/4"" x 4 1/2""";UND;0
ESP34X434;TORNILLERIA;"ESPARRAGO A193 B7 Ø 3/4"" x 4 3/4""";UND;0
ESP34X612;TORNILLERIA;"ESPARRAGO A193 B7 Ø 3/4"" x 6 1/2""";UND;0
ESP34X007;TORNILLERIA;"ESPARRAGO A193 B7 Ø 3/4"" x 7""";UND;0
ESP78X500;TORNILLERIA;"ESPARRAGO A193 B7 Ø 7/8"" x 5""";UND;0
ESP78X712;TORNILLERIA;"ESPARRAGO A193 B7 Ø 7/8"" x 7 1/2""";UND;0
ESP78X512;TORNILLERIA;"ESPARRAGO A193 B7 Ø 7/8"" x 5 1/2""";UND;0
ESP10X534;TORNILLERIA;"ESPARRAGO A193 B7 Ø 1"" x 5 3/4""";UND;0
TUER012;TORNILLERIA;"TUERCA A194 2H Ø 1/2""";UND;0
TUER058;TORNILLERIA;"TUERCA A194 2H Ø 5/8""";UND;0
TUER034;TORNILLERIA;"TUERCA A194 2H Ø 3/4""";UND;0
TUER078;TORNILLERIA;"TUERCA A194 2H Ø 7/8""";UND;0
TUER100;TORNILLERIA;"TUERCA A194 2H Ø 1""";UND;0
ARPR012;TORNILLERIA;"ARANDELA PRESION Ø 1/2""";UND;0
ARPR058;TORNILLERIA;"ARANDELA PRESION Ø 5/8""";UND;0
ARPR034;TORNILLERIA;"ARANDELA PRESION Ø 3/4""";UND;0
ARPR078;TORNILLERIA;"ARANDELA PRESION Ø 7/8""";UND;0
ARPR100;TORNILLERIA;"ARANDELA PRESION Ø 1""";UND;0
PEMP;EMPACADURA;"PAPEL VELUMOIDE 1/16""";ROLLO;0
SOP;SOPORTES;SOPORTE TUBERIA AGUA HELADA;UND;0
ITUB120;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 1/2""";ML;0
ITUB034;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 3/4""";ML;0
ITUB001;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 1""";ML;0
ITUB112;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 1 1/2""";ML;0
ITUB002;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 2""";ML;0
ITUB212;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 2 1/2""";ML;0
ITUB003;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 3""";ML;0
ITUB004;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 4""";ML;0
ITUB006;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 6""";ML;0
ITUB008;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 8""";ML;0
ITUB0010;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 10""";ML;0
ITUB012;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 12""";ML;0
ITUB014;MANO DE OBRA;"INSTALACION DE TUBERIA Ø 14""";ML;0
ICHILLER;MANO DE OBRA;INSTALACION DE CHILLER;UND;0
IUMA;MANO DE OBRA;INSTALACION DE UMA;UND;0
IBOMBA;MANO DE OBRA;INSTALACION DE BOMBA DE AGUA HELADA;UND;0
INTBLCP;MANO DE OBRA;INSTALACION DE TABLERO DE PROTECCION PARA EL CHILLER;UND;0
INTBLCB;MANO DE OBRA;INSTALACION DE TABLERO DE PROTECCION PARA LA BOMBA;UND;0
IMEDICION;MANO DE OBRA;INSTALACION DE INSTRUMENTOS DE MEDICION;UND;0
IVALVULAS;MANO DE OBRA;INSTALACION DE VALVULAS;UND;0
LQTUBERIAS;MANO DE OBRA;LIMPIEZA QUIMICA DE TUBERIAS;UND;0
IZAJE;MANO DE OBRA;IZAJE DE CHILLER;DIA;0
PROTECC;PROTECCION;SUMINISTRO DE TABLERO DE PROTECCION PARA EL CHILLER;UND;0
PROTECB;PROTECCION;SUMINISTRO DE TABLERO DE PROTECCION PARA LA BOMBA;UND;0
ATA140;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 1/4"" (CODOS, VALVULAS, JUNTAS)";ML;0
AT120;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 1/2"" (e=1"")";ML;0
ATA120;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 1/2"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT034;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 3/4"" (e=1"")";ML;0
ATA034;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 3/4"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT112;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 1 1/2"" (e=1"")";ML;0
ATA112;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 1 1/2"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT001;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 1"" (e=1"")";ML;0
ATA001;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 1"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT002;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 2"" (e=1"")";ML;0
ATA002;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 2"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT003;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 3"" (e=1 1/2"")";ML;0
ATA003;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 3"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT004;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 4"" (e=1 1/2"")";ML;0
ATA004;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 4"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT006;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 6"" (e=2"")";ML;0
ATA006;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 6"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT008;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 8"" (e=2"")";ML;0
ATA008;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 8"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT010;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 10"" (e=2"")";ML;0
ATA010;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 10"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT012;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 12"" (e=2"")";ML;0
ATA012;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 12"" (CODOS, VALVULAS, JUNTAS)";UND;0
AT014;AISLANTE;"SUMINISTRO E INSTALACION DE AISLANTE EN TUBERIA Ø 14"" (e=2"")";ML;0
ATA014;AISLANTE;"SUM E INST DE AISLANTE EN ACCESORIOS Ø 14"" (CODOS, VALVULAS, JUNTAS)";UND;0
